,Company_Name,Sector,Stage,Amount($),HeadQuarter,What it does,Funding Year,Founded,Founders,Investor
155,GalaxyCard,FinTech,Seed,,Gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,2020,2017,"Amit Kumar, Gunjeet Singh",India Accelerator
156,Wellness Forever,HealthTech,N/A,100000000.0,Mumbai,Wellness Forever is the one-stop destination for wellness,2020,2008,"Ashraf Biran, Gulshan Bakhtiani, Mohan Chavan","Poonawalla, Allana Group"
157,MoooFarm,AgriTech,Pre-seed,500000.0,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2020,2019,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart"
158,BitClass,PaaS startup,Seed,2000000.0,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020,2020,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures"
159,Gonuts,Entertainment,Seed,400000.0,Mumbai,Personalised Video shoutouts from favourite celebrity.,2020,2020,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini"
160,Uolo,EdTech,Seed,2000000.0,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2020,2013,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital"
161,Kirana King,Retail,Pre-series A,900000.0,Jaipur,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2020,2014,Anup Kumar,Rajasthan Venture Capital Fund
162,Jade Forest,Beverages,Seed,250000.0,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",2020,N/A,"Punweet Singh, Shuchir Suri",N/A
163,iKure,HealthTech,N/A,,Kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,2020,2010,Sujay Santra,"Ratan Tata, Inflection Point Ventures, Ankur Mittal"
164,FrontRow,EdTech,Seed,3200000.0,Bangalore,"Comprehensive courses, taught by idols.",2020,N/A,"Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone"
165,Reliance Retail,E-commerce,N/A,10000000.0,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,2020,2006,Mukesh Ambani,"Abu Dhabi Investment Authority, GIC"
166,TUBBR,Social Media,N/A,,Frisco,World's First Personal Social Network,2020,2019,"Saurabh Uttam, Ravi Singhal",Global Ascent Partners
167,Ather Energy,Automobiles,Series D,35000000.0,Bangalore,Ather Energy is a manufacturer of electric scooters.,2020,2013,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal
168,Routematic,SaaS startup,N/A,2000000.0,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2020,2007,"Sriram Kannan, Surajit Das","VAMM Ventures, Naresh Malhotra"
169,LivFin,FinTech,N/A,4700000.0,New Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),2020,2017,Rakesh Malhotra,"DEG, KFW DEG"
170,Universal Sportsbiz Pvt Ltd,Fashion startup,N/A,,Bangalore,A fashion startup based in Bengaluru.,2020,2012,Anjana Reddy,"Accel, Alteria Capital"
171,Lattu Kids,EdTech,N/A,,Mumbai,Lattu kids is an edutainment platform for preschool kids.,2020,2017,Vivek Bhutyani,Mumbai Angels Network
172,Eggoz,Food & Bevarages,Pre-series A,1500000.0,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",2020,2016,"Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners"
173,Steradian Semiconductors,Deeptech,N/A,,Bangalore,Semiconductor company focused on CMOS millimeter wave products for Radar.,2020,2016,"Gireesh Rajendran, Ashish Lachhwani, Apu Sivadas, Rakesh Kumar and Alok Joshi",Endiya Partners.
174,CHARGE+ZONE,EV startup,Pre-series A,3000000.0,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",2020,2018,"Kartikey Hariyani, Pavan Bakeri",Mumbai Angels
175,Stones2milestones,EdTech,Bridge,2000000.0,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,2020,2008,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao"
176,Udacity,EdTech,Debt,75000000.0,California,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",2020,2011,"David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann"
177,AjnaLens,AR/VR startup,Bridge,1000000.0,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2020,2014,"Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD"
178,Gully Network,E-commerce,Pre-series A,1200000.0,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,2020,2019,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners"
179,TurboHire,Recruitment startup,Seed,1000000.0,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2020,2018,"Abhishek Kabra, Aman Gour","Kia Ora Ventures, Pentathlon Ventures"
180,Traya,HealthTech,Seed,,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,2020,N/A,"Altaf Saiyed, Saloni Anand","Kae Capital, Whiteboard Capital"
181,Charcoal Eats,QSR startup,N/A,2000000.0,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2020,2015,"Anurag Mehrotra, Krishnakant Thakur, Mohammed Bhol, Gautam Singh",Lokmat Investments
182,Mitron TV,Video platform,N/A,,Bangalore,Mitron is a free short videoplatform for next generation,2020,2020,"Shivank Agarwal, Anish Khandelwal",9Unicorns
183,Svami,Food & Bevarages,N/A,800000.0,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,2020,2016,Sahil Jatana,"Niren Shah, Rukam Capital Trust"
184,Dhurnia,EdTech,N/A,100000.0,Dhingsara,Developer of an online learning platform intended for various competitive exam preparations.,2020,2018,"Ajay Kumar, Murari Singh","Chandigarh Angels Network, Modulor Capital"
185,Expertrons,EdTech,N/A,,Mumbai,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,2020,2019,Jatin Solanki,"Rohit Chanana, Sukanta Ganguly"
186,Leena AI,AI startup,N/A,8000000.0,New York,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,2020,2015,"Adit Jain, Anand Prajapati, Mayank Goyal","Alan Patricof, Jim Moffatt"
187,Bizlog,Logistics,N/A,1000000.0,Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,2020,2016,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam",IAN Fund
188,Tamasha.live,Gaming,N/A,300000.0,Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",2020,2020,"Saurabh Gupta, Siddharth Swarnkar","9Unicorns, Titan Capital, FirstCheque"
189,Fedo,AI startup,N/A,1000000.0,Bangalore,Artificial Intelligence based Credit Score for Health,2020,2017,"Arun Mallavarapu, Prasanth Madavana",AIM Smart City
190,FabHotels,Hospitality,N/A,1000000.0,Gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,2020,2015,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs"
191,Freshokartz,AgriTech,Pre-series A,1000000.0,Jaipur,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",2020,2016,"Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs"
192,FlexiLoans,FinTech,Debt,6000000.0,Mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",2020,2016,"Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud
193,Agrix,AgriTech,N/A,,Patna,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",2020,2020,"Nilay Pandey, Saurav Singh, Vivek Kumar",Maple Capital Advisors
194,BharatAgri,AgriTech,Pre-series A,,Pune,A Smart Farming Technology Platform for Indian Farmers,2020,2017,"Siddharth Dialani, Sai Gole","021 Capital, India Quotient"
195,FreshtoHome,E-commerce,Series C,121000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,2015,Shan Kadavil,"Ascent Capital, Iron Pillar"
196,Credable,FinTech,N/A,4500000.0,Mumbai,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,2020,2017,Nirav Choksi,Oaks Asset Management
197,Railofy,Transportation,Seed,5000000.0,Mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,2020,2019,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi","Roots Ventures, Better Capital"
198,Finova Capital,FinTech,N/A,55000000.0,Jaipur,Finova Capital is a non-banking financial company.,2020,2016,"Mohit Sahney, Sunita Sahney","Sequoia Capital India, Faering Capital"
199,Teachmint,EdTech,Seed,3500000.0,Bangalore,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,2020,2020,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India
200,Peel-Works,E-commerce,N/A,3000000.0,Mumbai,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,2020,2010,"Sachin Chhabra, Nidhi Ramachandran","CESC Ventures, Brun Raschle"
201,Janani,Fertility tech,Pre-seed,200000.0,Bangalore,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2020,2020,Nilay Mehrotra,9Unicorns
202,Credgenics,FinTech,Seed,3300000.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,2018,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel, Sunder Nookala"
203,Finelistings,Luxury car startup,N/A,,New Delhi,A Used Luxury Car Marketplace,2020,2015,Aneesh Mathur,Justdial
204,Wellversed,Healthcare,Pre-series A,,New Delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,2020,2018,"Aanan Khurma, Aditya Seth, Ripunjay Chachan","KLUB Works, Shankar Narayanan"
205,Nykaa,Cosmetics,N/A,,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,2012,Falguni Nayar,"Alia Bhatt, Katrina Kaif"
206,Jumbotail,E-commerce,Series B2,11000000.0,Bangalore,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",2020,2015,"Ashish Jhina, Karthik Venkateswaran",Nexus Venture Partners and 23 High Networth Individuals (HNIs)
207,Winzo,Gaming startup,N/A,2000000.0,New Delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2020,2018,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures"
208,mCaffeine,Cosmetics,Series B,5000000.0,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2020,2015,"Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital"
209,Pocket FM,FM,Series A,5000000.0,Bangalore,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,2020,2018,Rohan Nayak,"Times Group, Lightspeed"
210,Snackible,Healthcare,Bridge,,Mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,2020,2015,N/A,"Mumbai Angels, Murali Nair"
211,FreshtoHome,E-commerce,N/A,16000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,2015,Shan Kadavil,"Ascent Capital, Iron Pillar"
212,Jumbotail,Retail,Series B2,11000000.0,Bangalore,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,2020,2015,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, Capria Ventures"
213,Nykaa,E-commerce,N/A,,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,2012,Falguni Nayar,"Katrina Kaif, Steadview Capital"
214,TagZ Foods,Food,N/A,,Bangalore,TagZ Foods is a supplier of snacks and food products.,2020,2019,"Sagar Bhalotia, Anish Basu Roy","Exfinity Venture Partners, Shesh Kondi"
215,Genius Teacher,EdTech,N/A,2000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020,2016,"Advitiya Sharma, Gaurav Lahoti","Sandeep Tandon, Daniel Lapus"
216,Krimanshi Feeds,Nutrition sector,N/A,500000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,2015,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City"
217,Origo,AgriTech,Debt,4000000.0,Gurugram,Provider of marketing and warehousing services for agricultural commodities.,2020,2010,"Sunoor Kaul,",Northern Arc Capital
218,GetVantage,FinTech,Seed,5000000.0,Mumbai,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,2020,2019,"Amit Srivastava, Bhavik Vasa, Sachin Tagra, Sachin Tagra","Samyakth Capital, Venture Catalysts"
219,Betterplace,Tech platform,Series B,10000000.0,Bangalore,Developer of a digital verification platform designed to manage the semi-formal workforce.,2020,2015,"Saurabh Tandan, Pravin Agarwala",Jungle Ventures
220,Biddano,Healthcare,Pre-series A,600000.0,Mumbai,India's 1st tech-enabled healthcare logistics platform.,2020,2016,Talha Shaikh,Windrose Capital
221,InVideo,Video,Series A,15000000.0,Mumbai,InVideo enables you to transform your content into great videos.,2020,2017,"Harsh Vakharia, Pankit Chheda, Sanket Shah","Base Partners, Sequoia Capital India"
222,Arzooo,Retail Tech,Series A,7500000.0,Bangalore,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",2020,2016,"Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group"
223,Hubilo,Tech company,Seed,4500000.0,San Francisco,World’s smartest virtual event platform that brings Experience & Intelligence together,2020,2020,"Mayank Agarwal, Vaibhav Jain","Nishant Rao, Jonathan Boutelle"
224,BASIC Home Loan,FinTech,Seed,5000000.0,Gurugram,"A platform for automating home loans for middle and low-income households in India,",2020,2020,Atul Monga,Picus Capital
225,Ketos,AI startup,N/A,18000000.0,San Francisco,KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,2020,2015,Meena Sankaran,"Citi Ventures, Illuminated Funds Group"
226,SUGAR cosmetics,Cosmetics,Debt,2000000.0,Mumbai,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,2020,2012,"Kasuhik Mukherjee, Vineeta Singh","A91 Partners, RB Investments Pte. Ltd"
227,Signzy,FinTech,N/A,5400000.0,Bangalore,It is creating 'building blocks for a Digital Trust system.,2020,2015,"Ankit Ratan, Ankur Pandey, Arpit Ratan","GenNext Ventures, Contrarian Drishti Partners"
228,Ahaguru,EdTech,Series A,,Chennai,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",2020,2012,"Gomathi S, Dr Balaji Sampath",Anand Mahindra
229,Tekion,AI startup,Series C,150000000.0,San Ramon,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,2020,2016,"Guru Sankararaman, Jay Vijayan","Alliance Ventures, Storm Ventures"
230,Brighteye Ventures,EdTech,N/A,5400000.0,Paris,Education technology venture capital firm.,2020,2017,David guerin,Tandem
231,EzeRx,Medtech,Seed,200000.0,Kolkata,Developer and manufacturer of medical devices,2020,2018,"Amit mandahar, Chaitali roy","Indian Oil Corporation, Krishna Chakravarty"
232,VitalTech,HeathTech,Seed,3000000.0,Plano,"VitalTech is a develop technologies that empower patients to better care for their safety,",2020,2018,Anjan Panneer Selvam,Tech Mahindra
233,Genius Teacher,EdTech,N/A,2000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020,2016,"Advitiya Sharma, Gaurav Lahoti","Whiteboard Capital, VKG Ventures LLP."
234,Ultraviolette Automotive,Automobiles,Series B,4000000.0,Bangalore,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,2020,2014,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company
235,Tring,Social Media,N/A,,Mumbai,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",2020,2019,"Akshay Saini, Rahul Saini, Pranav Chabhadia","Sujeet Kumar, Hemesh Singh"
236,Rare Planet,Retail startup,Pre-series A,400000.0,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020,2015,"Ranodeep Saha, Vijay Kumar",Venture Catalysts
237,GoodGamer,Gaming,Seed,2500000.0,Bangalore,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,2020,2020,Charles Creighton,N/A
238,InnAccel,Medtech,Pre-series A,1500000.0,Bangalore,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",2020,2012,Siraj Dhanani,Mount Judi Ventures
239,Tiliter,Retail,N/A,7500000.0,Sydney,Software that uses computer vision to recognise products without barcodes,2020,2017,"Chris Sampson, Marcel Herz, Martin Karafilis","AngelList, Investec"
240,Slintel,Sles and marketing,N/A,4200000.0,San Francisco Bay Area,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",2020,2016,"Deepak Anchala, Rahul Bhattacharya, Ranjana TN","Accel, Stellaris Venture Partners"
241,SoOLEGAL,LegalTech,N/A,4000000.0,New Delhi,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",2020,2015,Manish Kaul,N/A
242,HobSpace,EdTech,Seed,200000.0,Mumbai,India's Activity Hub for Kids,2020,2019,"Priya Goel Sheth, Harsh Jain",Artha Venture
243,Supplynote,SaaS startup,Seed,500000.0,Noida,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,2020,2015,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash","MOX, SOSV"
244,Hire Me Car,Car Service,Seed,,Noida,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,2020,N/A,Pankaj Sharma,N/A
245,ShopUp,E-commerce,Series A,22000000.0,Bangaldesh,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",2020,2017,"Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar","Flourish Ventures, Lonsdale Capital"
246,Harmonizer India,Tech Startup,N/A,,Bangalore,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",2020,2019,M R Srinivas,Kapil Dev
247,Zomato,FoodTech,N/A,52000000.0,Gurugram,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,2020,2008,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management"
248,Dukaan,Tech Startup,Seed,6000000.0,Mumbai,Developer of an android application designed for businesses to sell online.,2020,2020,"Subhash Choudhary, Suumit Shah","Lightspeed, Matrix Partners."
249,CredR,Bike marketplace,N/A,2000000.0,Mumbai,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,2020,2014,"Nikhil Jain, Nittin Mittal, Sumit Chhazed","Eight Roads Ventures, On Mauritius"
250,Satyukt,Agri tech,Seed,500000.0,Bangalore,An agritech company that provides business to business (B2B) agricultural data,2020,2018,"Sat Tomer, Yukti Gill","NABVENTURES, Social Alpha (India)"
251,RACEnergy,Automobiles,N/A,,Hyderabad,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,2020,2018,"Arun Sreyas, Gautham Maheswaran","growX Ventures, Huddle (Incubator)"
252,TREAD,Fitness startup,Pre-seed,1100000.0,Bangalore,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,2020,2020,Dinesh Godara,"Better Capital, Kunal Shah, Gaurav Munjal"
253,Anveshan,FoodTech,Pre-seed,100000.0,Bangalore,Provide quality and healthy food products,2020,2019,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital
254,TeaMonk,Food & Bevarages,Pre-series A,900000.0,Bangalore,India's Finest Specialty Tea company.,2020,2016,"Amit Dutta, Ashok Mittal","Lead Angels Network, Roots Ventures"
255,Fleetx,Tech Startup,Pre-series B,3000000.0,Gurugram,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.",2020,2017,"Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra","Rohit Bansal, Rohan Ranavat"
256,ReNEWate,Real Estate,Pre-seed,,Pune,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",2020,2018,Supratik Ghatak,Real Estate Accelerator Program
257,Tango Eye,SaaS startup,Seed,,Chennai,Retail Video Analytics SaaS product,2020,2018,Surender Gounder,"Riso Investments, Lenskart"
258,Rare Planet,Reatil startup,Pre-series A,,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020,2015,"Ranodeep Saha, Vijay Kumar",Venture Catalysts
259,Avataa Me,AR platform,Series A,7000000.0,Bangalore,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,2020,2014,Gaurav Baid,Sequoia Capital India
260,Arrival,EV startup,N/A,118000000.0,London,Arrival is a technology company that specializes in developing electric vehicles.,2020,2015,Denis Sverdlov,"UPS Ventures, Hyundai Motor Company"
261,Cover Genius,FinTech,N/A,15000000.0,Sydney,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,2020,2014,"Angus McDonald, Chris Bayley","King River Capital, Leap Capital"
262,Phononic Vibes,Deeptech,N/A,2300000.0,Milano,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.",2020,2018,"Andrea Boeri, Braghin Francesco, Giovanni Capellari, Luca D'Alessandro, Stefano Caverni",N/A
263,MikeLegal,LegalTech,Seed,,Gurugram,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,2020,2017,"Tushar Bhargava, Anshul Gupta","SOSV, Artesian"
264,Clair,FinTech,Seed,4500000.0,New York,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,2020,2019,"Alex Kostecki, Erich Nussbaumer, Nico Simko","Upfront Ventures, Walkabout Ventures"
265,Gourmet Garden,Consumer Goods,N/A,,Palmwoods,Gourmet Garden is a global market leader in chilled convenient packaged herbs.,2020,1999,Arjun Balaji,Advent Partners
266,Miko,AI startup,Pre-series B,3000000.0,Mumbai,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",2020,2015,"Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Stride Ventures, YourNest Venture Capital"
267,Razorpay,FinTech,Series D,100000000.0,Bangalore,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",2020,2014,"Harshil Mathur, Shashank Kumar","Tiger Global Management, Sequoia Capital India"
268,Ninjacart,Food Industry,N/A,30000000.0,Bangalore,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",2020,2015,"Ashutosh Vikram, Kartheeswaran K K, Sharath Loganathan, Thiru Nagarajan, Thirukumaran Nagarajan, Vasu Devan","Syngenta Ventures, Walmart"
269,Wow! Momo,Food Industry,Debt,5000000.0,Kolkata,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,2020,2008,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman","Tiger Global Management, William Bissell"
270,Pepper Content,Content marketplace,Series A,4200000.0,Mumbai,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,2020,2017,"Anirudh Singla, Rishabh Shekhar","Alok Mittal, Manan Maheshwari"
271,LIVSPACE,Interior Design,Debt,4000000.0,Bangalore,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.",2020,2014,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Mercer Investments, Bessemer Venture Partners"
272,Acculi Labs,Healthcare,Seed,600000.0,Bangalore,Acculi Labs is a clinical grade smartphone based diagnostic tool,2020,2017,"HariPrasath M., Rupam Das",Startup Basket.
273,Your MD,Healthcare,N/A,25000000.0,London,Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,2020,2012,"Alessandro Traverso, Birger Lie, Harald Jellum, Matteo Berlucchi","Orkla Ventures, Smedvig Capital"
274,Antaios,Tech company,N/A,11000000.0,France,Developer of memory-based technology intended to solve issues of advanced computing.,2020,2016,Jean Pierre Nozieres,N/A
275,Unnati,AgriTech,Pre-series A,1700000.0,Noida,A helping hand to the farming community through Artificial Intelligence,2020,2017,"Amit Sinha, Ashok Prasad",NABVENTURES
276,Disprz,EdTech,Pre-series B,1600000.0,Chennai,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",2020,2015,"Kuljit Chadha, Subramanian Viswanathan","Xseed Partners, InnoVen Capital"
277,Uni,FinTech,Seed,18500000.0,Mumbai,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,2020,N/A,Nitin Gupta,"Lightspeed India Partners, Accel India"
278,Credit Wise Capital,FinTech,Seed,6000000.0,Mumbai,CreditWise Capital is a consumer finance company.,2020,1994,"Hirak Joshi, Aalesh Avlani",Venture Catalysts
279,Chargebee,SaaS startup,Series F,55000000.0,San Francisco Bay Area,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,2020,2011,"KP Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan T","Accel, Steadview Capital"
280,Reliance Retail Ventures Ltd,Retail,N/A,70000000000.0,Mumbai,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",2020,2006,Mukesh Ambani,"Silver Lake, Mubadala Investment Company"
281,Winuall,EdTech,N/A,2000000.0,Bangalore,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.",2020,2019,"Ashwini Purohit, MS Chouhan","Amit Lakhotia, Akash Gehani"
282,Genrobotics,AI startup,N/A,300000.0,Trivandrum,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,2020,2015,"Arun George, Nikhil NP, Rashid Bin Abdulla, Vimal Govind MK",Unicorn India Ventures
283,Livve,Rental space,Seed,1500000.0,Cochin,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,2020,2015,Maya Lakshman,N/A
284,Ergos,AgriTech,Series A,5000000.0,Samastipur,Ergos is building an integrated supply chain by setting up micro warehouses.,2020,2012,"Kishor Kumar Jha, Praveen Kumar","Aavishkaar Venture Capital, Chiratae Ventures"
285,Krishitantra,Soil-Tech,Seed,1000000.0,Hyderabad,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,2020,2017,"Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman","NABVENTURES, Omnivore"
286,PakkaProfile,Recruitment startup,Seed,,Bangalore,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",2020,2019,"Nagmanjunath Shivakumar, Savio Sebastian",Java Capital
287,Monet Networks,AI startup,Bridge,500000.0,Irvine,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,2020,2014,Anurag Bist,"SenseAI Ventures, EvoNexus"
288,Unocoin,FinTech,Series A,,Tumkur,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",2020,2013,"Abhinand Kaseti, Harish B V, Sathvik Vishwanath, Sunny Ray","Digital Finance Group, FundersClub"
